Source,Target
Leo_Strauss,George_Grant_(philosopher)
Leo_Strauss,Harvey_Mansfield
Leo_Strauss,Andrew_Sullivan
Leo_Strauss,Georg_Wilhelm_Friedrich_Hegel
Leo_Strauss,William_Galston
Leo_Strauss,Carl_Schmitt
Leo_Strauss,Joseph_Cropsey
Leo_Strauss,Alexandre_Kojève
Leo_Strauss,Ernst_Cassirer
Leo_Strauss,Mark_Lilla
Leo_Strauss,Seth_Benardete
Leo_Strauss,Stanley_Rosen
Leo_Strauss,Immanuel_Kant
Leo_Strauss,Richard_Rorty
Leo_Strauss,Jean-Jacques_Rousseau
Henri_Bourassa,Lionel_Groulx
Henri_Bourassa,Ernest_Lapointe
Marshall_McLuhan,B._W._Powe
Marshall_McLuhan,Abbie_Hoffman
Marshall_McLuhan,Camille_Paglia
Marshall_McLuhan,William_Irwin_Thompson
Marshall_McLuhan,Terence_McKenna
Marshall_McLuhan,Paul_Levinson
Marshall_McLuhan,Neil_Postman
Marshall_McLuhan,Douglas_Rushkoff
Marshall_McLuhan,Walter_J._Ong
Marshall_McLuhan,Richard_McKeon
Yehoshua_Bar-Hillel,Rudolf_Carnap
Carl_Gustav_Hempel,Jaegwon_Kim
Carl_Gustav_Hempel,Rudolf_Carnap
Carl_Gustav_Hempel,Robert_Nozick
Francisco_Suárez,Christian_Wolff_(philosopher)
Francisco_Suárez,René_Descartes
Francisco_Suárez,Gottfried_Wilhelm_Leibniz
Francisco_Suárez,Hugo_Grotius
Olavo_de_Carvalho,Friedrich_Wilhelm_Joseph_Schelling
Olavo_de_Carvalho,René_Guénon
Olavo_de_Carvalho,Wolfgang_Smith
Olavo_de_Carvalho,Gottfried_Wilhelm_Leibniz
Olavo_de_Carvalho,Duns_Scotus
Olavo_de_Carvalho,Xavier_Zubiri
Olavo_de_Carvalho,Mortimer_J._Adler
Hoshina_Masayuki,Yamazaki_Ansai
Simplicius_of_Cilicia,Plotinus
Jennifer_Hornsby,Bernard_Williams
Jennifer_Hornsby,Donald_Davidson_(philosopher)
Herbert_Blumer,Erving_Goffman
Herbert_Blumer,Anselm_Strauss
Richard_Tarnas,Rudolf_Steiner
Alfred_Richard_Orage,George_Gurdjieff
Cornelius_van_Bynkershoek,Hugo_Grotius
Muhammad_Ali_Jinnah,Muhammad_Iqbal
Sigmund_Freud,Baruch_Spinoza
Sigmund_Freud,Josef_Breuer
Sigmund_Freud,Karl_Robert_Eduard_von_Hartmann
Sigmund_Freud,Franz_Brentano
Milan_Komar,Alojz_Rebula
Khurshid_Ahmad_(Islamic_scholar),Abul_Ala_Maududi
David_Ray_Griffin,Charles_Hartshorne
James_Harrington_(author),Niccolò_Machiavelli
Hanna_Fenichel_Pitkin,Stanley_Cavell
Hanna_Fenichel_Pitkin,Hannah_Arendt
Walter_Sinnott-Armstrong,Bernard_Gert
Albert_Ellis,Epictetus
Claude_Lefort,Maurice_Merleau-Ponty
Claude_Lefort,Cornelius_Castoriadis
Claude_Lefort,Hannah_Arendt
Tadeusz_Kotarbiński,Franz_Brentano
Otto_Neurath,Berlin_Circle
Otto_Neurath,Vienna_Circle
David_Pearce_(philosopher),Nick_Bostrom
Euclid_of_Megara,Eubulides
Euclid_of_Megara,Thrasymachus_of_Corinth
Euclid_of_Megara,Stilpo
Euclid_of_Megara,Clinomachus
Euclid_of_Megara,Ichthyas
Richard_Wright_(author),Albert_Camus
Richard_Wright_(author),Jean-Paul_Sartre
Antonie_Pannekoek,Joseph_Dietzgen
Berlin_Circle,Hans_Reichenbach
Thorstein_Veblen,Herbert_Spencer
Jeanne_de_Salzmann,George_Gurdjieff
Julie_Dickson,Joseph_Raz
Kuki_Shūzō,Kitaro_Nishida
Kuki_Shūzō,Takeo_Doi
Thomas_Henry_Huxley,David_Hume
B._W._Powe,Northrop_Frye
Gore_Vidal,Michel_de_Montaigne
Isabelle_Stengers,Alfred_North_Whitehead
`Abd_Allah_ibn_`Umar,Ka'ab_al-Ahbar
Palmiro_Togliatti,Antonio_Gramsci
Marcel_Proust,Ralph_Waldo_Emerson
Mufti_Muhammad_Shafi,Mufti
Iván_Werning,Frank_P._Ramsey
W._D._Ross,Robert_Audi
W._D._Ross,G._E._Moore
Alexander_the_Great,Aristotle
Robert_G._Ingersoll,Thomas_Paine
Eric_Hobsbawm,Antonio_Gramsci
Nikolai_Berdyaev,Davor_Džalto
Nikolai_Berdyaev,Vladimir_Solovyov_(philosopher)
Nikolai_Berdyaev,Aldous_Huxley
Nikolai_Berdyaev,Lev_Shestov
Dominique_Lecourt,Gaston_Bachelard
Aristotelianism,Porphyry_(philosopher)
Joseph_Butler,Francis_Hutcheson_(philosopher)
Joseph_Butler,Thomas_Hobbes
Octavio_Paz,Ramón_Xirau
William_Wordsworth,David_Hartley_(philosopher)
Neo-Confucianism,Confucius
George_Trumbull_Ladd,Hermann_Lotze
Ezra_Koenig,Richard_McKeon
Gilbert_Simondon,Maurice_Merleau-Ponty
Gilbert_Simondon,Gaston_Bachelard
Gilbert_Simondon,Bernard_Stiegler
Gilbert_Simondon,Gilles_Deleuze
Yuli_Mikhailovich_Vorontsov,Helena_Roerich
Abbie_Hoffman,Herbert_Marcuse
Cynicism,Diogenes_of_Sinope
William_Godwin,Thomas_Paine
Posidonius,Plutarch
Posidonius,Panaetius
Posidonius,Strabo
Posidonius,Cleomedes
Posidonius,Seneca_the_Younger
Posidonius,Zeno_of_Citium
Posidonius,Jason_of_Nysa
Posidonius,Diodorus_Siculus
Posidonius,Livy
Julia_Kristeva,Hannah_Arendt
Quentin_Meillassoux,Alain_Badiou
José_Saramago,Michel_de_Montaigne
Charles_Darwin,David_Hume
Charles_Darwin,Herbert_Spencer
Gad_Horowitz,Herbert_Marcuse
P._L._Travers,George_Gurdjieff
Edwin_Arthur_Burtt,Giovanni_Gentile
Edwin_Arthur_Burtt,Alexandre_Koyré
Bruno_Bauer,Georg_Wilhelm_Friedrich_Hegel
Northrop_Frye,Margaret_Atwood
Panaetius,Hecato_of_Rhodes
Panaetius,Zeno_of_Citium
Murray_Bookchin,Baruch_Spinoza
Murray_Bookchin,Hans_Jonas
Murray_Bookchin,Georg_Wilhelm_Friedrich_Hegel
Murray_Bookchin,Karl_Marx
Akhtar_Raza_Khan,Hamid_Raza_Khan
Free_Talk_Live,Stefan_Molyneux
Dawud_al-Zahiri,Ibn_Hazm
Dawud_al-Zahiri,Sufyan_al-Thawri
Dawud_al-Zahiri,Muqbil_bin_Haadi_al-Waadi'ee
Dawud_al-Zahiri,Muhammad_Nasiruddin_al-Albani
Dawud_al-Zahiri,Yahya_ibn_Ma'in
Dawud_al-Zahiri,Ibn_Abi_Asim
Suzanne_Briet,Michael_Buckland
Suzanne_Briet,Jesse_Shera
Suzanne_Briet,Bruno_Latour
Jan_Patočka,Edmund_Husserl
