Number of pairs,13911.000000
Number of unique pairs,2640
Average pair frequency,5.269318
Pair entropy,7.535640

Pair,Frequency,Proportion,Entropy Term,Mutual Information
just trailer,6.000000,0.000431,0.003342,2.498324
just pretty,3.000000,0.000216,0.001821,2.698995
just u,4.000000,0.000288,0.002345,1.994013
just good,4.000000,0.000288,0.002345,1.636750
just think,7.000000,0.000503,0.003822,2.577440
just want,23.000000,0.001653,0.010590,3.664076
just read,6.000000,0.000431,0.003342,3.623254
just ass,3.000000,0.000216,0.001821,2.816778
just going,3.000000,0.000216,0.001821,1.712231
just people,4.000000,0.000288,0.002345,1.713711
just happen,4.000000,0.000288,0.002345,3.871715
just finished,5.000000,0.000359,0.002851,4.713898
just did,6.000000,0.000431,0.003342,2.399479
just left,3.000000,0.000216,0.001821,2.890886
just took,4.000000,0.000288,0.002345,3.416240
just tickets,3.000000,0.000216,0.001821,2.991982
just raw,3.000000,0.000216,0.001821,2.298835
just video,7.000000,0.000503,0.003822,3.664076
just bad,6.000000,0.000431,0.003342,3.069369
just let,4.000000,0.000288,0.002345,3.018938
just time,6.000000,0.000431,0.003342,2.150782
just cause,4.000000,0.000288,0.002345,3.633304
just american,5.000000,0.000359,0.002851,3.742038
just starwars,3.000000,0.000216,0.001821,2.472682
just thelastjedi,7.000000,0.000503,0.003822,2.918743
just best,3.000000,0.000216,0.001821,2.038109
just watched,6.000000,0.000431,0.003342,4.008916
just whats,4.000000,0.000288,0.002345,2.420282
just thank,3.000000,0.000216,0.001821,2.227009
just saw,10.000000,0.000719,0.005203,4.308433
just heard,3.000000,0.000216,0.001821,3.797607
just watch,6.000000,0.000431,0.003342,2.970929
just star,3.000000,0.000216,0.001821,2.005848
just mean,5.000000,0.000359,0.002851,3.292512
just happy,3.000000,0.000216,0.001821,2.227009
just played,3.000000,0.000216,0.001821,3.897691
just remember,5.000000,0.000359,0.002851,3.664076
just tried,3.000000,0.000216,0.001821,3.951758
just today,3.000000,0.000216,0.001821,2.088540
just tomorrow,3.000000,0.000216,0.001821,2.353493
just started,3.000000,0.000216,0.001821,3.706636
just happened,3.000000,0.000216,0.001821,3.951758
just getting,5.000000,0.000359,0.002851,2.875619
just w,3.000000,0.000216,0.001821,2.197739
just said,8.000000,0.000575,0.004291,3.518894
just posted,64.000000,0.004601,0.024759,5.625734
just photo,58.000000,0.004169,0.022848,5.434513
just yall,4.000000,0.000288,0.002345,2.367638
just long,4.000000,0.000288,0.002345,2.955425
just wars,3.000000,0.000216,0.001821,2.141649
just phone,3.000000,0.000216,0.001821,3.509925
just makes,3.000000,0.000216,0.001821,2.991982
just bit,4.000000,0.000288,0.002345,4.185373
just wanna,11.000000,0.000791,0.005648,3.967026
just turn,3.000000,0.000216,0.001821,3.376394
just hey,3.000000,0.000216,0.001821,2.608023
just sleep,3.000000,0.000216,0.001821,3.153250
just free,3.000000,0.000216,0.001821,3.013488
just dope,3.000000,0.000216,0.001821,3.846398
just win,3.000000,0.000216,0.001821,2.524642
just moment,3.000000,0.000216,0.001821,3.509925
just sad,4.000000,0.000288,0.002345,3.178568
just saying,3.000000,0.000216,0.001821,3.080930
just big,4.000000,0.000288,0.002345,2.839352
just matchup,8.000000,0.000575,0.004291,5.625734
just ask,3.000000,0.000216,0.001821,3.178568
just caught,3.000000,0.000216,0.001821,4.277180
just remembered,4.000000,0.000288,0.002345,4.932587
just bought,6.000000,0.000431,0.003342,4.444235
just turned,3.000000,0.000216,0.001821,4.134080
just realized,8.000000,0.000575,0.004291,4.878520
just asked,4.000000,0.000288,0.002345,4.085289
just looked,3.000000,0.000216,0.001821,3.897691
just hells,10.000000,0.000719,0.005203,5.407045
just pulled,4.000000,0.000288,0.002345,4.827227
just chillin,4.000000,0.000288,0.002345,5.743518
just lilac,5.000000,0.000359,0.002851,5.743518
just gagosian,10.000000,0.000719,0.005203,5.743518
just incorrectly,8.000000,0.000575,0.004291,5.743518
short film,3.000000,0.000216,0.001821,7.376499
short work,3.000000,0.000216,0.001821,5.676547
film camera,3.000000,0.000216,0.001821,8.241496
film festival,3.000000,0.000216,0.001821,8.241496
lady bird,7.000000,0.000503,0.003822,8.551993
looks like,32.000000,0.002300,0.013974,5.354179
looks good,6.000000,0.000431,0.003342,4.458129
know like,10.000000,0.000719,0.005203,2.618631
know problem,3.000000,0.000216,0.001821,4.594605
know right,5.000000,0.000359,0.002851,3.102722
know day,3.000000,0.000216,0.001821,2.476161
know love,5.000000,0.000359,0.002851,2.355831
know just,9.000000,0.000647,0.004751,2.361012
know lol,3.000000,0.000216,0.001821,2.616743
know isnt,4.000000,0.000288,0.002345,3.965996
know watching,3.000000,0.000216,0.001821,3.291198
know doing,4.000000,0.000288,0.002345,3.629524
know u,3.000000,0.000216,0.001821,2.549849
know want,5.000000,0.000359,0.002851,2.981537
know going,6.000000,0.000431,0.003342,3.248895
know people,5.000000,0.000359,0.002851,2.780372
know ill,4.000000,0.000288,0.002345,3.542512
know time,3.000000,0.000216,0.001821,2.301152
know shit,3.000000,0.000216,0.001821,2.629401
know whats,3.000000,0.000216,0.001821,2.976117
know star,3.000000,0.000216,0.001821,2.849365
know really,4.000000,0.000288,0.002345,2.742220
know real,4.000000,0.000288,0.002345,3.518982
know youre,4.000000,0.000288,0.002345,3.046075
know gotta,3.000000,0.000216,0.001821,3.574773
know wars,3.000000,0.000216,0.001821,2.985167
know means,3.000000,0.000216,0.001821,4.795275
know clothes,3.000000,0.000216,0.001821,5.200740
know realisticverbalize,3.000000,0.000216,0.001821,4.427550
know askingforit,3.000000,0.000216,0.001821,5.739737
spend time,4.000000,0.000288,0.002345,5.395975
id love,5.000000,0.000359,0.002851,4.106919
id say,3.000000,0.000216,0.001821,4.782775
birth control,3.000000,0.000216,0.001821,8.486253
lost matchup,8.000000,0.000575,0.004291,8.117156
lost gave,8.000000,0.000575,0.004291,7.018544
lost incorrectly,8.000000,0.000575,0.004291,8.234939
got like,4.000000,0.000288,0.002345,1.920778
got game,4.000000,0.000288,0.002345,2.878561
got right,5.000000,0.000359,0.002851,3.321160
got didnt,3.000000,0.000216,0.001821,3.319117
got work,3.000000,0.000216,0.001821,3.259694
got good,3.000000,0.000216,0.001821,2.411023
got tickets,6.000000,0.000431,0.003342,4.747084
got white,3.000000,0.000216,0.001821,3.655589
got hit,3.000000,0.000216,0.001821,4.190513
got money,3.000000,0.000216,0.001821,4.215205
got today,3.000000,0.000216,0.001821,3.150494
got ago,3.000000,0.000216,0.001821,4.608248
got big,3.000000,0.000216,0.001821,3.613625
got attention,3.000000,0.000216,0.001821,5.196034
got ticket,3.000000,0.000216,0.001821,5.706860
got vices,3.000000,0.000216,0.001821,6.805472
wait u,3.000000,0.000216,0.001821,3.652242
wait friday,3.000000,0.000216,0.001821,3.811306
wait til,3.000000,0.000216,0.001821,6.223091
set paradise,6.000000,0.000431,0.003342,8.254741
set design,6.000000,0.000431,0.003342,7.849276
set thefader,6.000000,0.000431,0.003342,8.765567
set alschnier,3.000000,0.000216,0.001821,8.765567
weekend got,3.000000,0.000216,0.001821,4.166415
weekend long,3.000000,0.000216,0.001821,5.353320
doesnt like,5.000000,0.000359,0.002851,3.410869
doesnt run,3.000000,0.000216,0.001821,5.364370
doesnt make,3.000000,0.000216,0.001821,4.173820
doesnt know,5.000000,0.000359,0.002851,4.102128
doesnt good,3.000000,0.000216,0.001821,3.677971
doesnt water,4.000000,0.000288,0.002345,6.239838
